id,class,classifier,enabled,createdAt,created_by,updated_by
19,Cosmics21,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-02-08 07:40:05.368000+01:00,sandeep.kaur.hundal@cern.ch,
20,Cosmics21,"{'if': [{'and': [{'var': 'tracker_included'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-02-08 07:40:05.368000+01:00,sandeep.kaur.hundal@cern.ch,sandeep.kaur.hundal@cern.ch
21,Cosmics21,"{'if': [{'and': [{'var': 'tracker_included'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-02-08 07:40:05.368000+01:00,sandeep.kaur.hundal@cern.ch,sandeep.kaur.hundal@cern.ch
22,Cosmics21CRUZET,"{'if': [{'and': [{'var': 'tracker_included'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-07-18 18:35:56.752000+02:00,sandeep.kaur.hundal@cern.ch,
23,Cosmics21,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-02-08 07:40:05.368000+01:00,sandeep.kaur.hundal@cern.ch,sandeep.kaur.hundal@cern.ch
24,Cosmics21CRUZET,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-07-18 18:35:56.752000+02:00,sandeep.kaur.hundal@cern.ch,sandeep.kaur.hundal@cern.ch
25,Cosmics21CRUZET,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-07-18 18:35:56.752000+02:00,sandeep.kaur.hundal@cern.ch,sandeep.kaur.hundal@cern.ch
26,Collisions21,"{'if': [{'and': [{'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-10-12 04:38:13.277000+02:00,m.ahmad@cern.ch,
27,Collision21Special,"{'if': [{'and': [{'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-10-27 09:31:44.881000+02:00,aliya.nigamova@cern.ch,
28,Collisions21Special,"{'if': [{'and': [{'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-10-31 01:11:05.267000+02:00,aliya.nigamova@cern.ch,
29,Commissioning22,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 11:59:05.540000+01:00,aliya.nigamova@cern.ch,
30,Collisions22,"{'if': [{'and': [{'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 11:59:46.712000+01:00,aliya.nigamova@cern.ch,
31,Cosmics22CRUZET,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 12:00:19.457000+01:00,aliya.nigamova@cern.ch,
32,Cosmics22,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 12:01:48.853000+01:00,aliya.nigamova@cern.ch,
33,Cosmics22,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 12:01:48.853000+01:00,aliya.nigamova@cern.ch,geetanjali.chaudhary@cern.ch
34,Cosmics22,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 12:01:48.853000+01:00,aliya.nigamova@cern.ch,aliya.nigamova@cern.ch
35,Cosmics22CRUZET,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 12:00:19.457000+01:00,aliya.nigamova@cern.ch,aliya.nigamova@cern.ch
36,Collisions22,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-02-14 11:59:46.712000+01:00,aliya.nigamova@cern.ch,geetanjali.chaudhary@cern.ch
37,Collisions22Special,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2022-09-24 18:08:12.415000+02:00,Shin-Shan.Yu@cern.ch,
